Bike_Lat,Bike_Long,name,distance,postcode
37.849735,-122.270582,El Tiny Cafe,26,94703
37.849735,-122.270582,Las Palmas Super Burritos and Heros,33,94703
37.849735,-122.270582,The Fat Fish,41,94703
37.33618830029063,-121.8892765045166,Goodtime Bar,34,95113
37.33618830029063,-121.8892765045166,Pastelaria Adega,50,95113
37.33618830029063,-121.8892765045166,Miniboss,56,95113
37.322124625448566,-121.88109040260316,5 Spot Chivas Grill,112,95110
37.322124625448566,-121.88109040260316,Wienerschnitzel,122,95110
37.322124625448566,-121.88109040260316,Clandestine Brewing Tap Room,221,95110
37.3236779,-121.8741186,Brickyard Condos,287,95112
37.3236779,-121.8741186,Bui Phong Bakery,338,95112
37.3236779,-121.8741186,Javi's Keyes Club,372,95112
37.3259984,-121.87712,Brickyard Condos,464,95112
37.3259984,-121.87712,Camino Brewing Co.,465,95113
37.3259984,-121.87712,5 Spot Chivas Grill,467,95110
37.3229796,-121.8879312,Metro Balderas 1,217,95110
37.3229796,-121.8879312,House of Pizza,390,95110
37.3229796,-121.8879312,Rosario's Tacos,420,95110
37.327581,-121.884559,La Penita Restaurant,135,95113
37.327581,-121.884559,San Jose Stage Company,137,95113
37.327581,-121.884559,Orchestria Palm Court,168,95112
37.3327938,-121.8759263,The Corner Cafe & Diner,33,95112
37.3327938,-121.8759263,Cali Spartan Mexican Kitchen,56,95112
37.3327938,-121.8759263,Super Taqueria,90,95112
37.3448821,-121.8969655,Smile Market,294,95112
37.3448821,-121.8969655,Kelly's Liquor Store,334,95112
37.3448821,-121.8969655,IHOP,369,95112
37.3413348,-121.9031829,BJ's Restaurant & Brewhouse,120,95110
37.3413348,-121.9031829,Panera Bread,136,95110
37.3413348,-121.9031829,Wingstop,144,95110
37.80781318217903,-122.26449608802795,Tacos La San Marquenna,70,94612
37.80781318217903,-122.26449608802795,The Overlook Lounge,121,94612
37.80781318217903,-122.26449608802795,19th Street Station,202,94612
37.8110807,-122.2432677,Bardo Lounge & Supper Club,15,94610
37.8110807,-122.2432677,Flipside,16,94610
37.8110807,-122.2432677,Einstein Bros. Bagels,23,94610
37.80889393398715,-122.25646018981932,Oasis Kitchen,21,94610
37.80889393398715,-122.25646018981932,Los Cantaros Restaurant and Taqueria,24,94610
37.80889393398715,-122.25646018981932,Oasis Lounge,30,94610
37.8305452,-122.2739367,Tacos Chavez,86,94608
37.8305452,-122.2739367,Joodooboo,212,94608
37.8305452,-122.2739367,Shangri-La Vegan,265,94608
37.8302232,-122.2709501,YogaLove West Oakland,172,94608
37.8302232,-122.2709501,Arthur Mac's Tap and Snack,246,94609
37.8302232,-122.2709501,MLK Cafe,272,94609
37.8127441,-122.2472152,Ikaros Greek Restaurant,14,94610
37.8127441,-122.2472152,Qi Dumpling Lounge,20,94610
37.8127441,-122.2472152,Melomelo Kava Bar Exp,25,94610
37.85578332030199,-122.28312671184538,Tacos Sinaloa,293,94702
37.85578332030199,-122.28312671184538,Broom Bush Cafe,442,94702
37.85578332030199,-122.28312671184538,Kaffa Ethiopian Cuisine,450,94702
37.85557366182879,-122.2635653614998,Cafe Buenos Aires,246,94705
37.85557366182879,-122.2635653614998,Mochinut,246,94705
37.85557366182879,-122.2635653614998,Sesame Tiny Bakery,251,94710
37.8575672,-122.2675583,Berkeley Bowl Produce,43,94703
37.8575672,-122.2675583,Buggy Bank,109,94705
37.8575672,-122.2675583,Crixa Cakes,128,94703
37.3429973,-121.8888891,Mi Pueblo Food Center,38,95112
37.3429973,-121.8888891,La Victoria Taqueria,212,95112
37.3429973,-121.8888891,Freshly Baked Eatery,412,95112
37.3322326,-121.9125165,Starbucks,14,95126
37.3322326,-121.9125165,Subway,25,95126
37.3322326,-121.9125165,Rosie's New York Pizza,32,95126
37.3319323,-121.9048882,Whole Foods,29,95126
37.3319323,-121.9048882,Taqueria,31,95126
37.3319323,-121.9048882,Mission Creek Brewing Co.,47,95126
37.3391456,-121.8841054,Tostadas San Jose,13,95113
37.3391456,-121.8841054,Pho Passion and Mintea,28,95113
37.3391456,-121.8841054,Punjab Cafe,36,95113
37.32086614588923,-121.87627851963045,Brickyard Condos,111,95112
37.32086614588923,-121.87627851963045,Burger Bar,166,95110
37.32086614588923,-121.87627851963045,Clandestine Brewing Tap Room,227,95110
37.7630152,-122.4264968,Bi-Rite Creamery Truck,186,94110
37.7630152,-122.4264968,SPRO Coffee Lab,191,94114
37.7630152,-122.4264968,Turner's Kitchen,193,94110
37.76704457969368,-122.39083349704742,SF Kebab,77,94158
37.76704457969368,-122.39083349704742,Poke Delish,138,94158
37.76704457969368,-122.39083349704742,Cafe 24,161,94143
37.32911866814779,-121.90457582473756,Cahill Park,37,95126
37.32911866814779,-121.90457582473756,Britainnia Arms,173,95110
37.32911866814779,-121.90457582473756,Savory Kitchen,184,95126
37.7316566899845,-122.45112150907516,Shanghai Dumpling King,7,94127
37.7316566899845,-122.45112150907516,Won Kok Restaurant,19,94127
37.7316566899845,-122.45112150907516,Railroad Expresso,32,94127
37.80000163118878,-122.26643800735472,Mad Oak,149,94607
37.80000163118878,-122.26643800735472,Luckyduck Bicycle Cafe,270,94607
37.80000163118878,-122.26643800735472,Oakland Museum of California,286,94607
37.80696976095594,-122.26658821105956,Parlour,39,94612
37.80696976095594,-122.26658821105956,19th Street Station,48,94612
37.80696976095594,-122.26658821105956,Drexl,76,94612
37.80477,-122.403234,Bay Club San Francisco,159,94111
37.80477,-122.403234,Hillstone,212,94111
37.80477,-122.403234,Pier 23 Cafe,261,94111
37.771762110313176,-122.39843755960464,Mission Creek Dog Park,125,94158
37.771762110313176,-122.39843755960464,I'a Poke,376,94107
37.771762110313176,-122.39843755960464,Mission Creek Park,412,94158
37.771058,-122.402717,Okane,54,94103
37.771058,-122.402717,Omakase,59,94103
37.771058,-122.402717,I'a Poke,112,94107
37.772300631747626,-122.3930275440216,Mission Creek Park,105,94158
37.772300631747626,-122.3930275440216,Happy Lemon,160,94158
37.772300631747626,-122.3930275440216,Mazu Spa,168,94158
37.7662185,-122.4310597,Willkommen,21,94114
37.7662185,-122.4310597,Black Hammer Brewing,42,94114
37.7662185,-122.4310597,People Hair & Nails Spa,58,94114
37.8717192,-122.2730677,Trader Joe's,4,94703
37.8717192,-122.2730677,Gold Leaf Cafe,31,94704
37.8717192,-122.2730677,Rojbas Grill,33,94704
37.778058,-122.2254,China Joe Fast Food,31,94601
37.778058,-122.2254,Panaderia La Favorita,40,94601
37.778058,-122.2254,Los Cocos Salvadorian Restaurant,42,94601
37.8072393,-122.2893702,Orbit Coffee 7th St,358,94607
37.8072393,-122.2893702,7th West,365,94607
37.8072393,-122.2893702,The Big Apple Cafe,387,94607
