Station_No,Station_ID,Bike_Lat,Bike_Long,name,review_count,categories,rating,distance
0,d0e8f4f1834b7b33a3faf8882f567ab8,37.849735,-122.270582,The Fat Fish,190,Fish & Chips,4.0,29.9305557971102
0,d0e8f4f1834b7b33a3faf8882f567ab8,37.849735,-122.270582,El Tiny Cafe,57,Cafes,5.0,31.707767038858425
0,d0e8f4f1834b7b33a3faf8882f567ab8,37.849735,-122.270582,808 deli and cafe,0,Delis,0.0,79.03748686104271
1,983514094dd808b1604da2dcfc2d09af,37.33618830029063,-121.8892765045166,Scratch Cookery,495,"Food Trucks, Chicken Shop",4.5,28.365905869786513
1,983514094dd808b1604da2dcfc2d09af,37.33618830029063,-121.8892765045166,Goodtime Bar,73,"Wine Bars, Tapas/Small Plates, Seafood",5.0,33.119119462517794
1,983514094dd808b1604da2dcfc2d09af,37.33618830029063,-121.8892765045166,CommonGrounds Workspace,2,"Shared Office Spaces, Venues & Event Spaces, Cafes",3.5,39.069892422608945
2,da17603652106fda93da4e255a5b0a22,37.322124625448566,-121.88109040260316,5 Spot Chivas Grill,165,Mexican,4.0,105.85261280360169
2,da17603652106fda93da4e255a5b0a22,37.322124625448566,-121.88109040260316,Wienerschnitzel,25,"Hot Dogs, Fast Food, Sandwiches",3.5,123.25150133051238
2,da17603652106fda93da4e255a5b0a22,37.322124625448566,-121.88109040260316,Pupuseria Delmy,17,"Salvadoran, Juice Bars & Smoothies, Beer Bar",3.5,160.02110621694044
3,7a21c92b3b4cd2f7759107b4fdebf869,37.3236779,-121.8741186,Pinto Cocina Mexicana,19,"Food Trucks, Mexican",5.0,255.01970004553263
3,7a21c92b3b4cd2f7759107b4fdebf869,37.3236779,-121.8741186,Stadium Liquors,31,"Beer, Wine & Spirits, Tacos",4.0,336.59107883604116
3,7a21c92b3b4cd2f7759107b4fdebf869,37.3236779,-121.8741186,Carnitas El Rincon - Keyes,54,"Mexican, Fast Food",4.0,421.25074640445666
4,ce34d38fb230a23c1ced12d1e16df294,37.3259984,-121.87712,Garnish 44,1,Burgers,5.0,371.60611207396374
4,ce34d38fb230a23c1ced12d1e16df294,37.3259984,-121.87712,Supper Foods,22,"Italian, Mexican, Food Court",4.0,429.94135825340777
4,ce34d38fb230a23c1ced12d1e16df294,37.3259984,-121.87712,First Street Market,1,"Mexican, Convenience Stores",2.0,429.94135825340777
5,a3b487ad4ac93ab3e9f9654f87ed8c1e,37.3229796,-121.8879312,Nene Postres,1,"Desserts, Creperies, Fruits & Veggies",5.0,222.67040783765057
5,a3b487ad4ac93ab3e9f9654f87ed8c1e,37.3229796,-121.8879312,Metro Balderas 1,286,Mexican,4.0,233.89168958949156
5,a3b487ad4ac93ab3e9f9654f87ed8c1e,37.3229796,-121.8879312,Kukar's House of Pizza,684,Pizza,2.5,385.9015245584915
