Station_No,Station_ID,Bike_Lat,Bike_Long,name
0,d0e8f4f1834b7b33a3faf8882f567ab8,37.849735,-122.270582,Shewhat
1,983514094dd808b1604da2dcfc2d09af,37.33618830029063,-121.8892765045166,The Club On Post
2,da17603652106fda93da4e255a5b0a22,37.322124625448566,-121.88109040260316,Petiscos
3,7a21c92b3b4cd2f7759107b4fdebf869,37.3236779,-121.8741186,Smack Burgers
4,ce34d38fb230a23c1ced12d1e16df294,37.3259984,-121.87712,Petiscos
5,a3b487ad4ac93ab3e9f9654f87ed8c1e,37.3229796,-121.8879312,Petiscos
6,b4b0088fb4fbb4587cad9d89ddc092cd,37.327581,-121.884559,Petiscos
7,d576652cc151c23d6ec52b8454429d47,37.3327938,-121.8759263,Cali Spartan Mexican Kitchen
8,0a24b6ab9ca6684780b6682901b3c680,37.3448821,-121.8969655,SJ Omogari
9,a4b234ab072402cbfcbd5e306588d9a9,37.3413348,-121.9031829,SJ Omogari
10,c7d58812e5bcf9183e20ec387d0386a9,37.80781318217903,-122.26449608802795,Parche
11,ade8fb7d8bab829cc6b2b752c02882ff,37.8110807,-122.2432677,Shakewell
12,3a9baba8738c921ad820add914d8d365,37.80889393398715,-122.25646018981932,Mama Oakland
13,8870d1c76fa018d1758fad83f2be5237,37.8305452,-122.2739367,Hidden Spot - Emeryville
14,a840a66dcf537eb53ff86c7ed469f491,37.8302232,-122.2709501,Lovely Day
15,315bd655b7cf06f4cf2e3c78879043e4,37.8127441,-122.2472152,Almond & Oak
16,c58c5e00d5caeb09fab3509a349ac2ce,37.85578332030199,-122.28312671184538,Creekwood
17,55389695e3090fea977edbe85a0b7dfc,37.85557366182879,-122.2635653614998,Kuboba Spot
18,81cc789c1070340c1930450769536ea2,37.8575672,-122.2675583,Kuboba Spot
19,155125eff6270d14ae62b26c85f15ce3,37.3429973,-121.8888891,SJ Omogari
20,2bef6d41ec5018bb81726f3e1f59d344,37.3322326,-121.9125165,Zona Rosa
21,98374aab7a1553d232630758717d87a7,37.3319323,-121.9048882,True Brew San Jose - Taphouse & Kitchen
22,ead93e0002db0611076fb2d63f76ce05,37.3391456,-121.8841054,Rollati Ristorante
23,3b360d106be2aeada021d0498be74fd5,37.32086614588923,-121.87627851963045,Smack Burgers
24,62e21ee5590d59c9e7d740bf16a06bd3,37.7630152,-122.4264968,Freekeh
25,2b14980ea8a5986da568e3711ef9cf95,37.76704457969368,-122.39083349704742,GluGlu
26,2e148870409210e664005a58263b186a,37.32911866814779,-121.90457582473756,True Brew San Jose - Taphouse & Kitchen
27,3cfc266f34c8daf3fa59119deca078ea,37.7316566899845,-122.45112150907516,Shanghai Dumpling King
28,b1385ff2e23b82e61c668a9fc8275142,37.80000163118878,-122.26643800735472,Lounge Chinatown
29,0dea2fc1c8cc19369db493d2278fbbbc,37.80696976095594,-122.26658821105956,Parche
30,28754859653e0a656ba53e1fa0ea21db,37.80477,-122.403234,Fog Harbor Fish House
31,eb9c95aaf839b9c7e8b18e68288862a3,37.771762110313176,-122.39843755960464,KAIYŌ Rooftop
32,d057730bd39a7e2c920ff32d19393eb6,37.771058,-122.402717,Rosemary & Pine
33,bafbf8c2ef10271c489e9ab99dc9bd21,37.772300631747626,-122.3930275440216,KAIYŌ Rooftop
34,2c505c45b2e849f1523a243b73a34daf,37.7662185,-122.4310597,Willkommen
35,840924c8e286486604f62ef9c02ef185,37.8717192,-122.2730677,Kinda Izakaya
36,9aabe0cff5a5e7c6b014dd2c163f1ebc,37.778058,-122.2254,Noodle Belly
37,6990760eb8be3fa93313672d7be369e6,37.8072393,-122.2893702,7TH WEST
38,55f0ed0965a5a80f451700832338cd49,37.7752321,-122.2244982,Bacogai
39,726e22d3f8e5b2f3b21230c49aa676c8,37.80874983465997,-122.28328227996823,Good Luck Gato
40,bd6bf51c4defa1eba0c9bdbc8478b3ce,37.8061628,-122.2760402,Good Luck Gato
41,c0c37f106fa8f27da58b777b7681f9a8,37.7440667,-122.4214722,Komaaj
42,446009f5d7c3932df1a0215e04df9891,37.7472996,-122.4114029,Foliage SF
43,caee8a5f24d36ec088093ba35c67492d,37.7436839,-122.4268059,Komaaj
44,bafd382d63b84005dec3dcfc5a326e98,37.745738796183325,-122.42214024066924,Komaaj
45,d63f2433c8e67e0db4df7a87e5fb38e3,37.7478584,-122.4249863,Bottega
46,5a3ef6c03f1ce19c588c078270170a18,37.8297046,-122.2876102,Flores - Emeryville
47,7e709245031d51963a79004362950401,37.8312752,-122.2856333,Pippal
48,ad0fd1e1100453a35d7ce5e5d95e4779,37.7552126,-122.4209752,Bottega
49,d54612ee1577923ef1aef60393aa07c7,37.7518194,-122.4266139,Bottega
50,689893116ddb1b8dfab61c092330b00a,37.7524278,-122.4206278,Bottega
51,96bae776dd2cf75e6ed06895761636af,37.7509004,-122.4274114,Bottega
52,22e24861b62c61aa3c99d47cd90095ce,37.78729,-122.39438,Movida
53,a536696bbab818af37342ac705d5b467,37.7913,-122.399051,The Third Floor
54,cbe0501b53945e1a590ff4484798e0e6,37.7824046019341,-122.43944585323337,NONO
55,6d5e221de84a938a2a813425ddddcf2d,37.31515792998312,-121.89783275127412,Casa Villa
56,679621279b937eda9558ca1ae02f748e,37.31673647849343,-121.91000461578368,Fire and Rice
57,10880ce63c335b9192ecf58992798f23,37.32345133870681,-121.90597593784332,Fire and Rice
58,f15f772b3686c852122d5d2737bb88a8,37.356834352780886,-121.89593575894833,SJ Omogari
59,aef71869dbbdf150a0e6807bc3512730,37.36522655191025,-121.9168147444725,Vito's Trattoria
60,a73276ab34067c112ab469c5107e1d2c,37.83954308266563,-122.2987177222967,Tipsy Putt
61,ccfc6870981cdd44b5a41bdee14e2a40,37.7873267660624,-122.41327822208405,Liholiho Yacht Club
62,35ecc8b9ed527420e102f4f1254583b2,37.75179164525661,-122.40521550178528,Destapas
63,e1217bf29c178d096c6e92ea8dc36453,37.8040367840236,-122.26240932941435,Parche
64,8924b980effba05ac4610a4abd37839e,37.364060462258806,-121.9117319583893,Hangar Bar & Grill
65,718cefa9c37e218744ea0cc193a3129a,37.7700298,-122.4117258,Eat Sushi
66,9beee70db0437cf4bd24078239213bb6,37.36186680025918,-121.90931528806688,Izakaya Restaurant
67,ed898b7f32d290732a31b0b519c1f7e3,37.36767805240811,-121.9187942147255,Vito's Trattoria
68,219cc838b24b5ceb39af7bcd6e6c5e13,37.36085415525383,-121.90683424472807,Izakaya Restaurant
69,4bbdbdf6abbdbb73cedafe47831eafd1,37.796470691622936,-122.4168576300144,Seven Hills
70,0891ec75daf2bf9e823f4a02e21fa9fd,37.870139,-122.268422,Gather Kitchen & Bar
71,193169dbc243a90e9c68e9bd94763748,37.87367621459825,-122.26848721504211,Gather Kitchen & Bar
72,f00345a08621722a4e680cf784706a3c,37.8677892,-122.2658964,Gather Kitchen & Bar
