Station_No,Station_ID,Bike_Lat,Bike_Lon,name,distance
0,d0e8f4f1834b7b33a3faf8882f567ab8,37.849735,-122.270582,El Tiny Cafe,26
0,d0e8f4f1834b7b33a3faf8882f567ab8,37.849735,-122.270582,Las Palmas Super Burritos and Heros,33
0,d0e8f4f1834b7b33a3faf8882f567ab8,37.849735,-122.270582,The Fat Fish,41
0,d0e8f4f1834b7b33a3faf8882f567ab8,37.849735,-122.270582,Washingtown,56
0,d0e8f4f1834b7b33a3faf8882f567ab8,37.849735,-122.270582,Vault Cafe,66
1,983514094dd808b1604da2dcfc2d09af,37.33618830029063,-121.8892765045166,Goodtime Bar,34
1,983514094dd808b1604da2dcfc2d09af,37.33618830029063,-121.8892765045166,Pastelaria Adega,50
1,983514094dd808b1604da2dcfc2d09af,37.33618830029063,-121.8892765045166,Miniboss,56
1,983514094dd808b1604da2dcfc2d09af,37.33618830029063,-121.8892765045166,Fox Tale Fermentation Project,56
1,983514094dd808b1604da2dcfc2d09af,37.33618830029063,-121.8892765045166,The City Fish,58
2,da17603652106fda93da4e255a5b0a22,37.322124625448566,-121.88109040260316,5 Spot Chivas Grill,112
2,da17603652106fda93da4e255a5b0a22,37.322124625448566,-121.88109040260316,Wienerschnitzel,122
2,da17603652106fda93da4e255a5b0a22,37.322124625448566,-121.88109040260316,Clandestine Brewing Tap Room,221
2,da17603652106fda93da4e255a5b0a22,37.322124625448566,-121.88109040260316,Mariscos & Taqueria La Ceiba,221
2,da17603652106fda93da4e255a5b0a22,37.322124625448566,-121.88109040260316,Zeugma Kebab,273
3,7a21c92b3b4cd2f7759107b4fdebf869,37.3236779,-121.8741186,Brickyard Condos,287
3,7a21c92b3b4cd2f7759107b4fdebf869,37.3236779,-121.8741186,Bui Phong Bakery,338
3,7a21c92b3b4cd2f7759107b4fdebf869,37.3236779,-121.8741186,Javi's Keyes Club,372
3,7a21c92b3b4cd2f7759107b4fdebf869,37.3236779,-121.8741186,Clandestine Brewing Tap Room,456
3,7a21c92b3b4cd2f7759107b4fdebf869,37.3236779,-121.8741186,Pho Tau Bay,501
4,ce34d38fb230a23c1ced12d1e16df294,37.3259984,-121.87712,Brickyard Condos,464
4,ce34d38fb230a23c1ced12d1e16df294,37.3259984,-121.87712,Camino Brewing Co.,465
4,ce34d38fb230a23c1ced12d1e16df294,37.3259984,-121.87712,5 Spot Chivas Grill,467
4,ce34d38fb230a23c1ced12d1e16df294,37.3259984,-121.87712,Mariscos & Taqueria La Ceiba,479
4,ce34d38fb230a23c1ced12d1e16df294,37.3259984,-121.87712,Clandestine Brewing Tap Room,497
5,a3b487ad4ac93ab3e9f9654f87ed8c1e,37.3229796,-121.8879312,Metro Balderas 1,217
5,a3b487ad4ac93ab3e9f9654f87ed8c1e,37.3229796,-121.8879312,House of Pizza,390
